address,bing_type,bing_confidence,bing_latitude,bing_longitude,mapquest_type,mapquest_class,mapquest_latitude,mapquest_longitude
"RACE ST & COLLIER ST PIttsburgh, PA",RoadIntersection,High,40.45783898356896,-79.89133587540263,,,,
"7310 FRANKSTOWN AV PIttsburgh, PA",Address,High,40.456474,-79.893524,house,place,40.4567434962359,-79.8938216929209
"958 WOODLOW ST PIttsburgh, PA",Address,High,40.4459510743618,-80.05222052335739,house,place,40.4465248942599,-80.0517829939576
"917 WESTERN AV PIttsburgh, PA",Address,High,40.45159149169922,-80.0172348022461,house,place,40.4517884590121,-80.0169918716235
"208 ROCHELLE ST PIttsburgh, PA",Address,High,40.414886474609375,-79.99108123779297,house,place,40.415016243312,-79.9908829404145
"JOSEPH ST & THOMPSON ST PIttsburgh, PA",RoadIntersection,High,40.465707434423955,-79.91047285541023,,,,
"7232 HAMILTON AV PIttsburgh, PA",Address,High,40.45420455932617,-79.89631652832031,house,place,40.4543498208259,-79.8966833411131
"2150 ELMORE SQ PIttsburgh, PA",Address,High,40.441697761416435,-79.97631199657917,house,place,40.4423915449508,-79.9772092260214
"219 LOMBARD ST PIttsburgh, PA",Address,High,40.43965148925781,-79.97904205322266,house,place,40.4398417287931,-79.9788742143368
"6481 FRANKSTOWN AV PIttsburgh, PA",Address,High,40.460689,-79.913894,house,place,40.4606836197664,-79.9142802320852
"MARSDEN ST & MONONGAHELA ST PIttsburgh, PA",RoadIntersection,High,40.41076987981796,-79.94238004088402,,,,
"310 E WARRINGTON AV PIttsburgh, PA",Address,High,40.420841217041016,-80.00186157226562,house,place,40.4209534574848,-80.0018997644394
"2650 CENTRE AV PIttsburgh, PA",Address,High,40.446778535842896,-79.96787711977959,primary,highway,40.4612076,-79.9223654
"7100 EVERTON ST PIttsburgh, PA",Address,High,40.46309642493725,-79.89319570362568,house,place,40.462748,-79.891953
"1500 BALDWICK RD PIttsburgh, PA",Address,High,40.42726211249828,-80.06209440529346,house,place,40.426822023942,-80.0596126581438
"255 EAST OHIO ST PIttsburgh, PA",Address,High,40.45217514038086,-80.00279998779297,house,place,40.4529806595745,-80.0030901489362
"524 HACKETT WY PIttsburgh, PA",RoadBlock,Medium,40.45001983642578,-79.88371276855469,service,highway,40.4500365,-79.8836768
"21 PERRY ST PIttsburgh, PA",Address,High,40.48738248646259,-79.96103949844837,house,place,40.4461039795918,-79.9774896122449
"2300 LA PLACE ST PIttsburgh, PA",Address,High,40.44473938643932,-79.97343398630619,residential,highway,40.4448031,-79.9758869
"893 MEMORY LN PIttsburgh, PA",Address,High,40.44876269996166,-79.98093008995056,house,place,40.4490988617383,-79.9798146731503
"1556 CRUCIBLE ST PIttsburgh, PA",Address,High,40.44691801071167,-80.0526463240385,house,place,40.4470109778376,-80.0527039101494
"2200 BLK BEDFORD AV PIttsburgh, PA",Address,High,40.44812,-79.978096,,,,
"1711 BELLEAU DR PIttsburgh, PA",Address,High,40.46085208654404,-80.00728346407413,house,place,40.4608132517821,-80.007096
"5225 KEYSTONE ST PIttsburgh, PA",Address,High,40.48014831542969,-79.95244598388672,house,place,40.4800284612913,-79.952454699972
"7906 FRANKSTOWN AV PIttsburgh, PA",Address,High,40.45494,-79.885543,secondary,highway,40.4583108,-79.9060527
"119 BONVUE ST PIttsburgh, PA",Address,High,40.48982238769531,-80.01606750488281,house,place,40.4898495,-80.0160528
"2618 LELAND ST PIttsburgh, PA",Address,High,40.471107482910156,-80.01211547851562,house,place,40.4710823,-80.0122221
"7706 TIOGA ST PIttsburgh, PA",Address,High,40.45108012855053,-79.8897859454155,house,place,40.4510712826056,-79.8898346636944
"315 ROCHELLE ST PIttsburgh, PA",Address,High,40.41521453857422,-79.99388122558594,house,place,40.4151100423463,-79.9934296819703
"ALPINE AV & GARFIELD AV PIttsburgh, PA",RoadIntersection,High,40.45793987810612,-80.01238971948624,,,,
"MATTHEWS AV & ROMEYN WY PIttsburgh, PA",,,,,,,,
"109 RHINE PL PIttsburgh, PA",Address,High,40.46699836850166,-79.99389253556728,house,place,40.4671579614585,-79.9936862988014
"6533 MEADOW ST PIttsburgh, PA",Address,High,40.461359694600105,-79.91005271673203,house,place,40.4614955,-79.909991
"1611 SANDUSKY CT PIttsburgh, PA",Address,High,40.45958139002323,-80.00572711229324,house,place,40.4594694119099,-80.0056952647111
"205 W ELIZABETH ST PIttsburgh, PA",Address,High,40.40683364868164,-79.94622802734375,tertiary,highway,40.4069204,-79.9442685
"2471 CHAUNCEY DR PIttsburgh, PA",Address,High,40.451055988669395,-79.97383631765842,house,place,40.4508209991795,-79.9744442681791
"WYLIE AV & CHAUNCEY ST PIttsburgh, PA",RoadIntersection,High,40.44739077373538,-79.97334969069979,,,,
"2112 BENTLEY DR PIttsburgh, PA",Address,High,40.440114587545395,-79.97688598930836,house,place,40.4400406020795,-79.9764161664181
"1019 GERRITT ST PIttsburgh, PA",Address,High,40.460418,-79.901855,residential,highway,40.4596773,-79.9018223
"7228 KELLY ST PIttsburgh, PA",Address,High,40.455013275146484,-79.8960189819336,house,place,40.455242062439,-79.896145856581
"GLENROSE ST & HAZELTON ST PIttsburgh, PA",RoadIntersection,High,40.46613977051585,-80.00360924701191,,,,
"2115 WATSON ST PIttsburgh, PA",Address,High,40.437740832567215,-79.97567631304264,house,place,40.4377647694525,-79.9755877003824
"313 STERLING ST PIttsburgh, PA",Address,High,40.41434860229492,-79.97473907470703,house,place,40.414981821108,-79.9747982504314
"20TH ST & PENN AV PIttsburgh, PA",RoadIntersection,High,40.4511196911335,-79.98392008244991,,,,
"3437 FLEMING AV PIttsburgh, PA",Address,High,40.477615,-80.038742,house,place,40.477761375,-80.038581625
"4201 BRISTOL ST PIttsburgh, PA",Address,High,40.422210693359375,-79.94597625732422,house,place,40.4216787788884,-79.9459868074664
"1710 TERMON AV PIttsburgh, PA",Address,High,40.482334,-80.04248,house,place,40.4820329961201,-80.0419636498538
"7266 SOMERSET ST PIttsburgh, PA",Address,High,40.467533111572266,-79.8916244506836,house,place,40.46761955579,-79.8919504834987
"31ST ST & RAILROAD ST PIttsburgh, PA",RoadIntersection,High,40.33066882942033,-79.84396214818531,,,,
"3811 O'HARA ST PIttsburgh, PA",Address,High,40.44371795654297,-79.9599380493164,tertiary,highway,40.444424,-79.9581363
"500 BL N ST CLAIR ST PIttsburgh, PA",Address,High,40.46718545258045,-79.92611043155193,,,,
"1513 CONWAY ST PIttsburgh, PA",Address,High,40.418418,-79.973373,house,place,40.4183942954545,-79.9734125
"630 N EUCLID AV PIttsburgh, PA",Address,High,40.468536376953125,-79.92391204833984,house,place,40.4685318,-79.923914
"1504 LINCOLN AV PIttsburgh, PA",Address,High,40.468631744384766,-79.89564514160156,house,place,40.4688438992133,-79.89573694987
"6525 HAMILTON AV PIttsburgh, PA",Address,High,40.459026,-79.913291,house,place,40.4590251,-79.9132824
"1600 BLK VILLANOVA RD PIttsburgh, PA",Address,High,40.482326,-79.926437,,,,
"712 N HOMEWOOD AV PIttsburgh, PA",Address,High,40.45584574341774,-79.8968207091093,house,place,40.455858,-79.896783
"34 STRAUSS ST PIttsburgh, PA",Address,High,40.46454347670078,-80.01977384090424,house,place,40.464573,-80.0197114
"2439 BEDFORD AV PIttsburgh, PA",Address,High,40.45029558241367,-79.97356206178665,house,place,40.4503020588235,-79.9736693529412
"611 NOBLESTOWN RD PIttsburgh, PA",Address,High,40.43708570301533,-80.0399923324585,house,place,40.4153816436892,-80.0721688003577
"1905 BUENA VISTA ST PIttsburgh, PA",Address,High,40.46127700805664,-80.0147476196289,house,place,40.4611922,-80.0146761
"1905 BUENA VISTA ST PIttsburgh, PA",Address,High,40.46127700805664,-80.0147476196289,house,place,40.4611922,-80.0146761
"KIRKPATRICK ST & LA PLACE ST PIttsburgh, PA",RoadIntersection,High,40.44474005699158,-79.97582986950874,,,,
"7230 KELLY ST PIttsburgh, PA",Address,High,40.45525901019573,-79.89605896174908,house,place,40.4552350936934,-79.8961145453966
"2500 CENTRE AV PIttsburgh, PA",Address,High,40.445458218455315,-79.97059017419815,primary,highway,40.4612076,-79.9223654
"2225 BEDFORD AV PIttsburgh, PA",Address,High,40.448997497558594,-79.97710418701172,house,place,40.4488279908469,-79.9771374260299
"3349 LIBERTY AV PIttsburgh, PA",Address,High,40.461814,-79.966567,house,place,40.4616948127554,-79.9666905124154
"404 CURTIN AV PIttsburgh, PA",Address,High,40.418838,-79.999107,house,place,40.4188960003589,-79.9989504905796
"LARIMER AV BR & DEARY ST PIttsburgh, PA",RoadIntersection,High,40.46787827875293,-79.90714205075368,,,,
"1605 BROADHEAD ST PIttsburgh, PA",Address,High,40.46910858154297,-79.8918228149414,house,place,40.4690408,-79.8917753
"5416 BROAD ST PIttsburgh, PA",Address,High,40.46530532836914,-79.93522644042969,house,place,40.4653464,-79.9352128
"139 JUCUNDA ST PIttsburgh, PA",Address,High,40.41755294799805,-79.98987579345703,house,place,40.4174489761982,-79.9892970613549
"2411 BEDFORD AV PIttsburgh, PA",Address,High,40.4500213265419,-79.97422456741333,house,place,40.4500142142857,-79.9743470714286
"515 N HIGHLAND AV PIttsburgh, PA",Address,High,40.46666242182255,-79.92247402667999,house,place,40.46698625,-79.9230753158718
"408 N AIKEN AV PIttsburgh, PA",Address,High,40.467843264341354,-79.93447557091713,house,place,40.4679169,-79.9342032
"6622 DEARY ST PIttsburgh, PA",Address,High,40.465396881103516,-79.90337371826172,house,place,40.4656563752269,-79.9035684035551
"5354 MOSSFIELD ST PIttsburgh, PA",Address,High,40.47163054347038,-79.93405379354954,residential,highway,40.4711894,-79.9334871
"7100 & 7300 BL MONTICELLO ST PIttsburgh, PA",,,,,,,,
"2256 EAST HILLS DR PIttsburgh, PA",Address,High,40.45463003218174,-79.87192310392857,house,place,40.4546103990156,-79.8718401537887
"4741 BUTLER ST PIttsburgh, PA",Address,High,40.475242614746094,-79.9580307006836,house,place,40.4750959953913,-79.9577951582413
"2129 RHINE ST PIttsburgh, PA",Address,High,40.46704262495041,-79.99447725713253,house,place,40.466489,-79.994039
"528 LOWELL ST PIttsburgh, PA",Address,High,40.46292495727539,-79.9095687866211,house,place,40.4629020903263,-79.9098643766773
"CLIMAX ST & BELTZHOOVER AV PIttsburgh, PA",RoadIntersection,High,40.42000003159046,-79.99735996127129,,,,
"322 N NEGLEY AV PIttsburgh, PA",Address,High,40.466138049960136,-79.92902263998985,house,place,40.4658621980969,-79.9291293329298
"5324 BROWN WY PIttsburgh, PA",Address,High,40.466789,-79.937202,service,highway,40.4669798,-79.9379342
"HAMILTON AV & STERRETT ST PIttsburgh, PA",RoadIntersection,High,40.4541002959013,-79.89523015916348,,,,
"ENTERPRISE ST & TANGENT WY PIttsburgh, PA",RoadIntersection,High,40.46002998948097,-79.91399019956589,,,,
"5114 COLUMBO ST PIttsburgh, PA",Address,High,40.46996019780636,-79.94037441909313,house,place,40.4700681520334,-79.9402368844992
"E WARRINGTON AV & VINCENT ST PIttsburgh, PA",RoadIntersection,High,40.4210601747036,-80.00148989260197,,,,
"5506 PENN AV PIttsburgh, PA",Address,High,40.463988929986954,-79.93222519755363,hairdresser,shop,40.46382955,-79.9322283422015
"3060 CHARTIERS AV PIttsburgh, PA",Address,High,40.45386505126953,-80.06056213378906,house,place,40.4538777102532,-80.0602884113524
"586 OAKWOOD ST PIttsburgh, PA",Address,High,40.45155715942383,-79.8842544555664,house,place,40.4514979500177,-79.8845755471678
"4741 MONONGAHELA AV PIttsburgh, PA",Address,High,40.41255569458008,-79.94293975830078,,,,
"4617 CARLTON ST PIttsburgh, PA",Address,High,40.471431732177734,-79.95581817626953,house,place,40.4710984884862,-79.955927485096
"2154 WHITE HILL DR PIttsburgh, PA",Address,High,40.44852398335934,-79.97988939285278,residential,highway,40.4486742,-79.9797265
"108 ZARA ST PIttsburgh, PA",Address,High,40.41579818725586,-79.98848724365234,house,place,40.415822,-79.988436
"2340 EAST HILLS DR PIttsburgh, PA",Address,High,40.45539043843746,-79.87089648842812,house,place,40.4555945540812,-79.8708041644228
"318 WINSTON ST PIttsburgh, PA",Address,High,40.40500259399414,-79.93836975097656,house,place,40.4050805456064,-79.938953307809
"NOBLES LN & DENISE ST PIttsburgh, PA",RoadIntersection,High,40.397265772038274,-79.99774254968729,,,,
"600 WANDLESS ST PIttsburgh, PA",Address,High,40.45051351189613,-79.96641129255295,residential,highway,40.4518753,-79.9671768
"1000 HALLAM ST PIttsburgh, PA",Address,High,40.45599728822708,-79.88231129944324,house,place,40.455991,-79.882261
"7025 KEDRON ST PIttsburgh, PA",Address,High,40.46181567013264,-79.8991260677576,house,place,40.4618426477429,-79.899116810825
"722 IDLEWOOD AV PIttsburgh, PA",Address,High,40.415122985839844,-80.07563781738281,residential,highway,40.416369,-80.0743888
"2103 PARK HILL DR PIttsburgh, PA",Address,High,40.45254997909069,-79.87393006682396,house,place,40.4526919015352,-79.8742252175685
"1401 N MURTLAND ST PIttsburgh, PA",Address,High,40.46266174316406,-79.89968872070312,house,place,40.462679,-79.899602
"3907 FORBES AV PIttsburgh, PA",Address,High,40.44215776026249,-79.95623163878918,primary,highway,40.4395608,-79.8994473
"434 SYLVANIA AV PIttsburgh, PA",Address,High,40.4172248840332,-79.99901580810547,house,place,40.4173571764706,-79.9991068823529
"529 LOWELL ST PIttsburgh, PA",Address,High,40.4632453918457,-79.90992736816406,house,place,40.4632116,-79.9098738
"7101 FRANKSTOWN AV PIttsburgh, PA",Address,High,40.458095,-79.898277,house,place,40.457949,-79.898342
"4501 TORLEY ST PIttsburgh, PA",Address,High,40.46491241455078,-79.9504623413086,house,place,40.464769,-79.950407
"2407 WYLIE AV PIttsburgh, PA",Address,High,40.44774627685547,-79.97315216064453,house,place,40.44759875,-79.97310725
"7104 MT VERNON ST PIttsburgh, PA",Address,High,40.461795806884766,-79.89725494384766,house,place,40.4619444911442,-79.8973292112792
"3174 MCCLURE AV PIttsburgh, PA",Address,High,40.4735221862793,-80.03520965576172,house,place,40.4735757502709,-80.0353236182205
"EAST BUSWAY - HOMEWOOD AV STATION PIttsburgh, PA",,,,,,,,
"1310 OBERLIN ST PIttsburgh, PA",Address,High,40.462066650390625,-79.88973999023438,house,place,40.4619732,-79.8898744
"520 EAST OHIO ST PIttsburgh, PA",Address,High,40.45383834838867,-80.00000762939453,house,place,40.4536306209317,-80.0002397859396
"3443 FLEMING AV PIttsburgh, PA",Address,High,40.477874755859375,-80.038818359375,house,place,40.47788775,-80.03862025
"7202 KELLY ST PIttsburgh, PA",Address,High,40.455428659915924,-79.896809309721,house,place,40.4554035,-79.8968626666667
"7202 KELLY ST PIttsburgh, PA",Address,High,40.455428659915924,-79.896809309721,house,place,40.4554035,-79.8968626666667
"310 E WARRINGTON AV PIttsburgh, PA",Address,High,40.420841217041016,-80.00186157226562,house,place,40.4209534574848,-80.0018997644394
"1026 STONEVILLE ST PIttsburgh, PA",Address,High,40.457698822021484,-79.87950134277344,house,place,40.4571777142857,-79.8796406122449
"2548 BROWNSVILLE RD PIttsburgh, PA",Address,High,40.38575358688831,-79.97886545956135,house,place,40.3857658011323,-79.9789625569185
"1700 LETSCHE ST PIttsburgh, PA",Address,High,40.46176202595234,-80.00819273293018,residential,highway,40.4643977,-80.0089838
"7153 KEDRON ST PIttsburgh, PA",Address,High,40.46104049682617,-79.89509582519531,house,place,40.46117627151,-79.8961553779741
"RAPIDAN WY & VICTOR WY PIttsburgh, PA",RoadIntersection,High,40.463960096240044,-79.9091300368309,,,,
"4650 ROSINA WY PIttsburgh, PA",Address,High,40.464500561356544,-79.95126754045486,service,highway,40.4644301,-79.9510547
"GRIMES AV & ZARA ST PIttsburgh, PA",RoadIntersection,High,40.415770187973976,-79.993120059371,,,,
"GRIMES AV & ZARA ST PIttsburgh, PA",RoadIntersection,High,40.415770187973976,-79.993120059371,,,,
"701 CHISLETT ST PIttsburgh, PA",Address,High,40.471042,-79.930717,house,place,40.4710532,-79.9306076
"701 CHISLETT ST PIttsburgh, PA",Address,High,40.47104263305664,-79.93071746826172,house,place,40.4710532,-79.9306076
"1233 WOODLAND AV PIttsburgh, PA",Address,High,40.469154,-80.02861,house,place,40.4692656625531,-80.0286402678704
"7232 HAMILTON AV PIttsburgh, PA",Address,High,40.454204,-79.896316,house,place,40.4543498208259,-79.8966833411131
"131 ZARA ST PIttsburgh, PA",Address,High,40.416072845458984,-79.98973846435547,house,place,40.4159525502756,-79.9896854917311
"1142 GOETTMANN ST PIttsburgh, PA",Address,High,40.458354,-79.990303,,,,
"5300 BLK BROWN WY PIttsburgh, PA",PopulatedPlace,Medium,40.43833923339844,-79.99746704101562,,,,
"5300 BLK BROWN WY PIttsburgh, PA",PopulatedPlace,Medium,40.43833923339844,-79.99746704101562,,,,
"WEBSTER AV & ORION ST PIttsburgh, PA",RoadIntersection,High,40.454929769039154,-79.96192999184132,,,,
"214 MAYFLOWER ST PIttsburgh, PA",Address,High,40.461910247802734,-79.91363525390625,house,place,40.4620700385921,-79.9136277729848
"3799 CHARTIERS AV PIttsburgh, PA",Address,High,40.457172,-80.076011,house,place,40.457941,-80.07538
"1041 MARENA ST PIttsburgh, PA",Address,High,40.44685363769531,-80.03892517089844,residential,highway,40.4456964,-80.0372926
"3500 HOWLEY ST PIttsburgh, PA",Address,High,40.462955608963966,-79.96086113154888,house,place,40.462925,-79.960874
"5300 KINCAID ST PIttsburgh, PA",Address,High,40.466530323028564,-79.93789337575436,house,place,40.4665,-79.937921
"5300 KINCAID ST PIttsburgh, PA",Address,High,40.466530323028564,-79.93789337575436,house,place,40.4665,-79.937921
"374 PENFORT ST PIttsburgh, PA",Address,High,40.476597994565964,-79.99988459050655,house,place,40.4766153,-79.9996424
"HAMILTON AV & HALE ST PIttsburgh, PA",RoadIntersection,High,40.45236021280289,-79.88755032420158,,,,
"3333 ALLENDALE T PIttsburgh, PA",Address,High,40.457126,-80.06324,,,,
"881 MEMORY LN PIttsburgh, PA",Address,High,40.448664128780365,-79.98085834085941,house,place,40.4491427988421,-79.9795820649535
"1507 5TH AV PIttsburgh, PA",Address,High,40.43873977661133,-79.98469543457031,primary,highway,40.4468715,-79.9496369
"2535 CHAUNCEY DR PIttsburgh, PA",Address,High,40.4514254629612,-79.972949847579,house,place,40.4513446516543,-79.973217595295
"WEBSTER AV & JUNILLA ST PIttsburgh, PA",RoadIntersection,High,40.44961966574192,-79.97249990701675,,,,
"7710 TIOGA ST PIttsburgh, PA",Address,High,40.45077896118164,-79.88957977294922,house,place,40.451038137676,-79.8897564394907
"ALLEN ST & MANTON WY PIttsburgh, PA",RoadIntersection,High,40.42130023241043,-79.99374970793724,,,,
"BRUSHTON AV & CALWAY PIttsburgh, PA",,,,,,,,
"20 AMANDA AV1706 PIttsburgh, PA",Address,High,40.420978,-79.988044,,,,
"BROAD ST & N EVALINE ST PIttsburgh, PA",RoadIntersection,High,40.466209799051285,-79.94083978235722,,,,
"23 MERRITT AV PIttsburgh, PA",Address,High,40.383586,-79.978553,,,,
"ALBION ST & ANNAN WY PIttsburgh, PA",RoadIntersection,High,40.45268006622791,-79.89666983485222,,,,
"385 PENFORT ST PIttsburgh, PA",Address,High,40.476770997047424,-79.99984838068485,residential,highway,40.4737208,-80.0029178
"7313 BENNETT ST PIttsburgh, PA",Address,High,40.455924198031425,-79.89408954977989,house,place,40.4559630473786,-79.8940800579391
"137 HAZLETT ST PIttsburgh, PA",Address,High,40.477151200175285,-80.00154487788677,house,place,40.4764642049548,-80.0026693226494
"PENN AV & 28TH ST PIttsburgh, PA",RoadIntersection,High,40.45686028897762,-79.97560992836952,,,,
"PENFORT ST & ESSEN ST PIttsburgh, PA",RoadIntersection,High,40.47317541139997,-80.0028486235622,,,,
"7328 SUSQUEHANNA ST PIttsburgh, PA",Address,High,40.45241165161133,-79.89552307128906,house,place,40.4527596030715,-79.896094448559
"931 CHEROKEE ST PIttsburgh, PA",Address,High,40.45076370239258,-79.9581527709961,house,place,40.4508868900534,-79.9588132266996
"4041 PERRYSVILLE AV PIttsburgh, PA",Address,High,40.491744,-80.021141,house,place,40.4918099,-80.0210745
"7340 HERMITAGE ST PIttsburgh, PA",Address,High,40.45912551879883,-79.89144134521484,house,place,40.4594133775525,-79.8921363445444
"1417 N LANG AV PIttsburgh, PA",Address,High,40.46229109168053,-79.8976133018732,house,place,40.4622760243704,-79.8976707121942
"213 RADCLIFFE ST PIttsburgh, PA",Address,High,40.46258544921875,-80.05497741699219,house,place,40.4624862842105,-80.0553521684211
"5601 PENN AV PIttsburgh, PA",Address,High,40.463752,-79.929504,house,place,40.4635333,-79.9296606
"523 MORGAN ST PIttsburgh, PA",Address,High,40.44826889038086,-79.96739196777344,house,place,40.4488085409703,-79.9675900075224
"612 HALE ST PIttsburgh, PA",Address,High,40.45268630981445,-79.88716125488281,house,place,40.4525737272727,-79.8873378181818
"W WARRINGTON AV & BOGGSTON AV PIttsburgh, PA",RoadIntersection,High,40.420040264725685,-80.00791981816292,,,,
"11 BIRMINGHAM AV PIttsburgh, PA",Address,High,40.402408599853516,-79.98889923095703,house,place,40.4022849619724,-79.9891780608989
"835 JOHNSTON AV PIttsburgh, PA",Address,High,40.406163185834885,-79.93052870035172,house,place,40.406273179804,-79.9313051819011
"1026 LAKEWOOD ST PIttsburgh, PA",Address,High,40.445858001708984,-80.03951263427734,house,place,40.445805,-80.0396886
"134 STEUBEN ST PIttsburgh, PA",Address,High,40.4425048828125,-80.0339584350586,house,place,40.4423188046683,-80.0338773840834
"3500 HOWLEY ST PIttsburgh, PA",Address,High,40.462955608963966,-79.96086113154888,house,place,40.462925,-79.960874
"2758 GLEN MAWR ST PIttsburgh, PA",Address,High,40.454624,-80.05046,,,,
"2766 ZEPHYR AV PIttsburgh, PA",Address,High,40.454277,-80.051246,house,place,40.4538116676445,-80.0509724402703
"1346 MANNING ST PIttsburgh, PA",Address,High,40.4685173034668,-79.89714813232422,house,place,40.468425,-79.89725
"950 WOODLOW ST PIttsburgh, PA",Address,High,40.44658660888672,-80.05207061767578,house,place,40.446644,-80.051649
"610 SINGER PL PIttsburgh, PA",Address,High,40.4515266418457,-79.88312530517578,house,place,40.453138244898,-79.8828737346939
"924 TAFT AV PIttsburgh, PA",Address,High,40.414302825927734,-80.00653839111328,house,place,40.4147688133577,-80.0068849562596
"1504 LINCOLN AV PIttsburgh, PA",Address,High,40.468631744384766,-79.89564514160156,house,place,40.4688438992133,-79.89573694987
"4801 STANTON AV PIttsburgh, PA",Address,High,40.480360463261604,-79.93401624262333,house,place,40.4815267,-79.9332969111329
"N MURTLAND ST & FELICIA WY PIttsburgh, PA",RoadIntersection,High,40.45801028609276,-79.90128993988037,,,,
"132 DOVE WY PIttsburgh, PA",RoadBlock,Medium,40.414730072021484,-79.99059295654297,service,highway,40.4147553,-79.9900836
"MANHATTAN ST & PENNSYLVANIA AV PIttsburgh, PA",RoadIntersection,High,40.45401982963085,-80.02632983028889,,,,
"3204 MCCLURE AV PIttsburgh, PA",Address,High,40.474258,-80.034622,house,place,40.4741748245017,-80.0347424144717
"7201 FRANKSTOWN AV PIttsburgh, PA",Address,High,40.457519,-79.896102,house,place,40.457441,-79.896112
"230 N CRAIG ST PIttsburgh, PA",Address,High,40.45125961303711,-79.95121765136719,primary,highway,40.4558897,-79.9544854
"HABERMAN AV & INDUSTRY ST PIttsburgh, PA",RoadIntersection,High,40.42064979672432,-80.0024601817131,,,,
