VICTIM_ID,TYPE,CCR,DATE,TIME,HOUR,LOCATION,CENSUS_TRACT,NEIGHBORHOOD,ZONE,WEAPON,,MOTIVE,VICTIM_RACE,VICTIM_SEX,VICTIM_AGE,ACTOR_CT.
24,Homicide,,7/8/10,2255,22,FRANKSTOWN AV & OAKWOOD ST,1301,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,19,0
26,Homicide,,7/11/10,0313,3,2340 EAST HILLS DR,1306,East Hills,5,HANDGUN,Firearm,,BLACK,FEMALE,24,2
28,Homicide,,7/18/10,1400,14,5343 CORNWALL ST,1016,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,30,0
29,Homicide,,7/19/10,0230,2,N ST CLAIR ST & HAYS ST,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,17,0
30,Homicide,,7/19/10,0230,2,N ST CLAIR ST & HAYS ST,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,17,0
31,Homicide,,7/25/10,2020,20,FORMOSA WY & N BRADDOCK AV,1304,Homewood South,5,RIFLE,Firearm,,BLACK,MALE,35,1
33,Homicide,,8/9/10,1623,16,2025 DERAUD ST,0402,Golden Triangle,2,HANDGUN,Firearm,,BLACK,FEMALE,21,1
34,Homicide,,8/10/10,2006,20,2151 ELMORE SQ,0511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,29,1
35,Homicide,,8/16/10,2335,23,2523 CHAUNCEY DR,0509,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,20,0
36,Homicide,,8/27/10,0327,3,7100 BLK UPLAND ST,1301,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,51,0
37,Homicide,,8/29/10,0326,3,612 HILLSBORO ST,2018,Sheraden,6,HANDGUN,Firearm,,BLACK,MALE,26,0
39,Homicide,,9/9/10,2305,23,6502 SHETLAND ST,1204,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,47,1
40,Homicide,,9/11/10,1157,11,611 MONTOOTH ST,1809,Beltzhoover,3,HANDGUN,Firearm,,BLACK,MALE,19,0
41,Homicide,,9/19/10,2002,20,2126 ELMORE SQ,0511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,48,1
42,Homicide,,9/26/10,0200,2,1142 GOETTMANN ST,2406,Troy Hill,1,HANDGUN,Firearm,,BLACK,MALE,18,0
43,Homicide,,9/29/10,1810,18,5634 STANTON AV,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,29,2
44,Homicide,,9/30/10,2014,20,3422 MILWAUKEE ST,0506,Upper Hill,2,HANDGUN,Firearm,,BLACK,MALE,33,0
46,Homicide,,11/2/10,2233,22,836 SHAWNEE ST,0506,Upper Hill,2,HANDGUN,Firearm,,BLACK,MALE,43,0
47,Homicide,,11/10/10,1637,16,RACE ST & COLLIER ST,1302,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,31,0
48,Homicide,,11/13/10,0352,3,7310 FRANKSTOWN AV,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,39,1
50,Homicide,,11/13/10,1911,19,958 WOODLOW ST,2814,Crafton Heights,6,HANDGUN,Firearm,,BLACK,MALE,25,2
51,Homicide,,11/19/10,2215,22,917 WESTERN AV,2201,Allegheny West,1,HANDGUN,Firearm,,BLACK,MALE,23,1
52,Homicide,,11/27/10,1714,17,208 ROCHELLE ST,3001,Knoxville,3,HANDGUN,Firearm,,BLACK,MALE,22,0
53,Homicide,,12/6/10,0133,1,JOSEPH ST & THOMPSON ST,1204,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,18,1
54,Homicide,,12/9/10,0051,0,7232 HAMILTON AV,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,37,0
55,Homicide,,12/30/10,1524,15,2150 ELMORE SQ,0511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,30,2
57,Homicide,,1/16/11,0230,2,219 LOMBARD ST,0305,Crawford-Roberts,2,HANDGUN,Firearm,,BLACK,MALE,24,1
58,Homicide,,1/23/11,0337,3,6481 FRANKSTOWN AV,1208,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,30,0
59,Homicide,,1/25/11,1203,12,MARSDEN ST & MONONGAHELA ST,1515,Hazelwood,4,HANDGUN,Firearm,,BLACK,MALE,27,1
60,Homicide,,2/10/11,1911,19,310 E WARRINGTON AV,1809,Beltzhoover,3,HANDGUN,Firearm,,BLACK,MALE,19,0
61,Homicide,,2/12/11,1418,14,2650 CENTRE AV,0510,Terrace Village,2,SHOTGUN,Firearm,,BLACK,MALE,21,1
62,Homicide,,2/16/11,1856,18,7100 EVERTON ST,1202,Lincoln-Lemington-Belmar,5,HANDGUN,Firearm,,BLACK,MALE,22,2
64,Homicide,,2/27/11,0210,2,1500 BALDWICK RD,2812,Oakwood,6,HANDGUN,Firearm,,WHITE,MALE,29,1
65,Homicide,,3/17/11,0216,2,255 EAST OHIO ST,2204,Allegheny Center,1,SHOTGUN,Firearm,,BLACK,FEMALE,29,1
66,Homicide,,3/23/11,1545,15,524 HACKETT WY,1306,East Hills,5,HANDGUN,Firearm,,BLACK,MALE,21,2
67,Homicide,,3/29/11,1900,19,21 PERRY ST,0501,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,21,0
68,Homicide,,4/6/11,1347,13,2300 LA PLACE ST,0501,Golden Triangle,2,HANDGUN,Firearm,,BLACK,MALE,19,0
70,Homicide,,4/23/11,2038,20,893 MEMORY LN,0509,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,17,0
71,Homicide,,5/11/11,2225,22,1556 CRUCIBLE ST,2814,Crafton Heights,6,HANDGUN,Firearm,,BLACK,MALE,20,1
72,Homicide,,5/14/11,1634,16,2200 BLK BEDFORD AV,0501,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,24,0
74,Homicide,,6/19/11,2129,21,1711 BELLEAU DR,2509,Fineview,1,HANDGUN,Firearm,,BLACK,MALE,27,1
75,Homicide,,6/30/11,0125,1,5225 KEYSTONE ST,1011,Upper Lawrenceville,2,HANDGUN,Firearm,,BLACK,MALE,34,1
76,Homicide,,7/15/11,0334,3,7906 FRANKSTOWN AV,1306,East Hills,5,HANDGUN,Firearm,,BLACK,MALE,34,0
77,Homicide,,7/24/11,0330,3,119 BONVUE ST,2602,Perry North,1,HANDGUN,Firearm,,BLACK,MALE,19,0
78,Homicide,,8/4/11,2316,23,2618 LELAND ST,2615,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,19,0
79,Homicide,,8/9/11,0109,1,7706 TIOGA ST,1304,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,3,1
80,Homicide,,8/14/11,2141,21,315 ROCHELLE ST,3001,Knoxville,3,HANDGUN,Firearm,,BLACK,MALE,19,2
81,Homicide,,8/14/11,0224,2,ALPINE AV & GARFIELD AV,2503,Central Northside,1,HANDGUN,Firearm,,BLACK,MALE,29,0
82,Homicide,,8/15/11,1833,18,MATTHEWS AV & ROMEYN WY,3001,Knoxville,3,HANDGUN,Firearm,,BLACK,MALE,18,0
83,Homicide,,8/16/11,2209,22,109 RHINE PL,2620,Spring Hill-City View,1,HANDGUN,Firearm,,BLACK,MALE,22,0
84,Homicide,,8/17/11,2348,23,6533 MEADOW ST,1204,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,14,0
87,Homicide,,9/8/11,0130,1,1611 SANDUSKY CT,2509,Fineview,1,HANDGUN,Firearm,,BLACK,MALE,18,0
88,Homicide,,9/12/11,2237,22,205 W ELIZABETH ST,1501,Hazelwood,4,HANDGUN,Firearm,,BLACK,MALE,20,0
89,Homicide,,9/26/11,1140,11,2471 CHAUNCEY DR,0509,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,26,2
90,Homicide,,9/27/11,1731,17,WYLIE AV & CHAUNCEY ST,0509,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,36,0
93,Homicide,,11/14/11,1500,15,2112 BENTLEY DR,0511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,38,5
94,Homicide,,11/26/11,0511,5,1019 GERRITT ST,1207,Homewood West,5,AK 47,Firearm,,BLACK,FEMALE,25,0
95,Homicide,,12/7/11,2239,22,7228 KELLY ST,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,21,0
96,Homicide,,12/18/11,1931,19,GLENROSE ST & HAZELTON ST,2509,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,45,0
97,Homicide,,12/21/11,1224,12,2115 WATSON ST,0103,Bluff,2,HANDGUN,Firearm,,BLACK,MALE,39,0
98,Homicide,,12/31/11,0341,3,313 STERLING ST,1603,Arlington,3,HANDGUN,Firearm,,BLACK,MALE,23,1
99,Homicide,,1/1/12,0128,1,20TH ST & PENN AV,0203,Strip District,2,HANDGUN,Firearm,,BLACK,FEMALE,27,0
100,Homicide,,1/2/12,1924,19,3437 FLEMING AV,2703,Brighton Heights,1,HANDGUN,Firearm,,BLACK,MALE,21,0
101,Homicide,,1/6/12,1610,16,4201 BRISTOL ST,1516,Greenfield,4,HANDGUN,Firearm,,WHITE,MALE,40,1
102,Homicide,,2/10/12,1649,16,1710 TERMON AV,2701,Brighton Heights,1,HANDGUN,Firearm,,BLACK,MALE,35,0
104,Homicide,,2/22/12,0102,1,7266 SOMERSET ST,1202,Lincoln-Lemington-Belmar,5,HANDGUN,Firearm,,BLACK,MALE,19,0
105,Homicide,,2/28/12,1642,16,31ST ST & RAILROAD ST,0203,Strip District,2,HANDGUN,Firearm,,WHITE,MALE,31,1
106,Homicide,,3/8/12,1345,13,3811 O'HARA ST,0403,North Oakland,4,HANDGUN,Firearm,,WHITE,MALE,25,1
107,Homicide,,3/25/12,1953,19,500 BL N ST CLAIR ST,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,17,0
108,Homicide,,4/2/12,1727,17,1513 CONWAY ST,1608,South Side Slopes,3,HANDGUN,Firearm,,BLACK,MALE,19,0
109,Homicide,,4/21/12,1813,18,630 N EUCLID AV,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,30,1
110,Homicide,,5/1/12,2248,22,1504 LINCOLN AV,1202,Lincoln-Lemington-Belmar,5,HANDGUN,Firearm,,BLACK,MALE,29,0
111,Homicide,,5/6/12,0259,2,6525 HAMILTON AV,1208,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,20,0
112,Homicide,,5/13/12,0100,1,1600 BLK VILLANOVA RD,1014,Morningside,5,HANDGUN,Firearm,,BLACK,MALE,22,1
113,Homicide,,5/20/12,0429,4,712 N HOMEWOOD AV,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,35,0
114,Homicide,,5/28/12,2135,21,34 STRAUSS ST,2614,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,32,0
115,Homicide,,6/20/12,2226,22,2439 BEDFORD AV,0509,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,24,0
116,Homicide,,6/24/12,1510,15,611 NOBLESTOWN RD,2811,East Carnegie,6,HANDGUN,Firearm,,BLACK,MALE,23,2
117,Homicide,,6/28/12,0613,6,1905 BUENA VISTA ST,2614,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,15,0
118,Homicide,,6/28/12,0613,6,1905 BUENA VISTA ST,2614,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,21,0
119,Homicide,,7/6/12,1346,13,KIRKPATRICK ST & LA PLACE ST,0501,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,26,1
120,Homicide,,7/15/12,0203,2,7230 KELLY ST,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,27,0
121,Homicide,,7/17/12,1845,18,2500 CENTRE AV,0501,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,17,0
123,Homicide,,8/25/12,0145,1,2225 BEDFORD AV,0509,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,17,0
124,Homicide,,8/25/12,1558,15,3349 LIBERTY AV,0603,Lower Lawrenceville,2,HANDGUN,Firearm,,WHITE,MALE,46,2
125,Homicide,,8/26/12,1217,12,404 CURTIN AV,1809,Beltzhoover,3,HANDGUN,Firearm,,BLACK,MALE,19,1
126,Homicide,,9/5/12,1604,16,LARIMER AV BR & DEARY ST,1203,Wilkins,,HANDGUN,Firearm,,BLACK,MALE,17,2
127,Homicide,,9/8/12,0120,1,1605 BROADHEAD ST,1202,Lincoln-Lemington-Belmar,5,HANDGUN,Firearm,,BLACK,MALE,59,0
128,Homicide,,9/12/12,2140,21,5416 BROAD ST,1114,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,24,1
129,Homicide,,9/20/12,2120,21,139 JUCUNDA ST,3001,Knoxville,3,HANDGUN,Firearm,,WHITE,MALE,51,0
130,Homicide,,10/1/12,2148,21,2411 BEDFORD AV,0509,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,47,0
131,Homicide,,10/13/12,1008,10,515 N HIGHLAND AV,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,FEMALE,64,0
132,Homicide,,10/14/12,2044,20,408 N AIKEN AV,1114,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,16,0
133,Homicide,,10/16/12,2057,20,6622 DEARY ST,1203,Lincoln-Lemington-Belmar,5,HANDGUN,Firearm,,BLACK,MALE,50,0
134,Homicide,,10/21/12,2003,20,5354 MOSSFIELD ST,1016,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,20,0
135,Homicide,,11/4/12,2246,22,7100 & 7300 BL MONTICELLO ST,1302,Homewood West,5,HANDGUN,Firearm,,BLACK,FEMALE,31,0
136,Homicide,,11/18/12,0408,4,2256 EAST HILLS DR,1306,East Hills,5,HANDGUN,Firearm,,BLACK,MALE,21,0
137,Homicide,,11/29/12,2137,21,4741 BUTLER ST,0901,Central Lawrenceville,2,HANDGUN,Firearm,,BLACK,MALE,25,0
138,Homicide,,12/7/12,2006,20,2129 RHINE ST,2620,Spring Hill-City View,1,HANDGUN,Firearm,,BLACK,MALE,38,0
139,Homicide,,1/1/13,2010,20,528 LOWELL ST,1204,Larimer,5,HANDGUN,Firearm,,BLACK,FEMALE,33,1
140,Homicide,,1/10/13,1916,19,CLIMAX ST & BELTZHOOVER AV,1803,Beltzhoover,3,HANDGUN,Firearm,,BLACK,MALE,16,2
141,Homicide,,1/14/13,0001,0,322 N NEGLEY AV,1115,East Liberty,5,HANDGUN,Firearm,,WHITE,MALE,37,1
142,Homicide,,1/23/13,1808,18,5324 BROWN WY,1017,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,27,0
143,Homicide,,2/4/13,0736,7,HAMILTON AV & STERRETT ST,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,32,0
145,Homicide,,2/23/13,0241,2,ENTERPRISE ST & TANGENT WY,1208,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,26,0
146,Homicide,,2/24/13,1704,17,5114 COLUMBO ST,1016,Garfield,5,RIFLE,Firearm,,BLACK,MALE,25,1
147,Homicide,,2/28/13,0137,1,E WARRINGTON AV & VINCENT ST,1809,Beltzhoover,3,HANDGUN,Firearm,,BLACK,FEMALE,28,2
148,Homicide,,3/6/13,1638,16,5506 PENN AV,0807,Friendship,5,HANDGUN,Firearm,,BLACK,MALE,24,0
150,Homicide,,3/30/13,0338,3,3060 CHARTIERS AV,2022,Sheraden,6,HANDGUN,Firearm,,BLACK,MALE,21,3
152,Homicide,,4/11/13,1455,14,586 OAKWOOD ST,1306,East Hills,5,HANDGUN,Firearm,,BLACK,MALE,41,1
154,Homicide,,4/28/13,1829,18,4741 MONONGAHELA AV,1501,Hazelwood,4,HANDGUN,Firearm,,BLACK,MALE,21,0
156,Homicide,,5/10/13,1216,12,4617 CARLTON ST,0902,Central Lawrenceville,2,HANDGUN,Firearm,,WHITE,FEMALE,44,1
157,Homicide,,5/11/13,2355,23,2154 WHITE HILL DR,0509,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,17,0
158,Homicide,,5/17/13,0425,4,108 ZARA ST,3001,Knoxville,3,HANDGUN,Firearm,,BLACK,MALE,54,2
159,Homicide,,5/21/13,1932,19,2340 EAST HILLS DR,1306,East Hills,5,HANDGUN,Firearm,,BLACK,MALE,1,0
160,Homicide,,7/2/13,0120,1,318 WINSTON ST,1504,Hazelwood,4,HANDGUN,Firearm,,BLACK,MALE,20,0
161,Homicide,,7/7/13,0138,1,NOBLES LN & DENISE ST,2901,Carrick,3,HANDGUN,Firearm,,BLACK,MALE,36,0
162,Homicide,,7/13/13,1130,11,600 WANDLESS ST,0501,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,23,0
163,Homicide,,7/16/13,1755,17,1000 HALLAM ST,1301,Homewood North,5,HANDGUN,Firearm,,BLACK,FEMALE,30,0
164,Homicide,,7/16/13,1243,12,7025 KEDRON ST,1301,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,39,0
165,Homicide,,7/28/13,0232,2,722 IDLEWOOD AV,2805,East Carnegie,6,HANDGUN,Firearm,,BLACK,MALE,45,1
166,Homicide,,7/31/13,1821,18,2103 PARK HILL DR,1306,East Hills,5,HANDGUN,Firearm,,BLACK,MALE,24,1
167,Homicide,,8/1/13,1328,13,1401 N MURTLAND ST,1207,Homewood West,5,HANDGUN,Firearm,,BLACK,MALE,36,0
168,Homicide,,8/3/13,0327,3,3907 FORBES AV,0403,North Oakland,4,HANDGUN,Firearm,,WHITE,MALE,24,1
169,Homicide,,8/11/13,0300,3,434 SYLVANIA AV,1809,Beltzhoover,3,HANDGUN,Firearm,,BLACK,MALE,34,0
170,Homicide,,8/15/13,2246,22,529 LOWELL ST,1204,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,24,1
171,Homicide,,8/27/13,0027,0,7101 FRANKSTOWN AV,1302,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,24,0
172,Homicide,,9/8/13,0227,2,4501 TORLEY ST,0903,Bloomfield,5,HANDGUN,Firearm,,WHITE,MALE,56,1
173,Homicide,,9/16/13,2335,23,2407 WYLIE AV,0501,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,40,1
174,Homicide,,9/16/13,2108,21,7104 MT VERNON ST,1302,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,19,0
175,Homicide,,9/21/13,0159,1,3174 MCCLURE AV,2715,Marshall-Shadeland,1,HANDGUN,Firearm,,BLACK,MALE,40,0
176,Homicide,,10/9/13,0003,0,EAST BUSWAY - HOMEWOOD AV STATION,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,21,1
177,Homicide,,10/15/13,2239,22,1310 OBERLIN ST,1202,Penn Hills,,HANDGUN,Firearm,,BLACK,MALE,30,0
178,Homicide,,10/18/13,0102,1,520 EAST OHIO ST,2304,East Allegheny,1,HANDGUN,Firearm,,BLACK,MALE,46,1
179,Homicide,,10/20/13,0316,3,3443 FLEMING AV,2703,Brighton Heights,1,HANDGUN,Firearm,,BLACK,MALE,37,1
180,Homicide,,10/20/13,0305,3,7202 KELLY ST,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,FEMALE,21,0
181,Homicide,,10/20/13,0305,3,7202 KELLY ST,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,27,0
182,Homicide,,11/2/13,0339,3,310 E WARRINGTON AV,1809,Beltzhoover,3,HANDGUN,Firearm,,BLACK,MALE,35,0
183,Homicide,,11/25/13,1546,15,1026 STONEVILLE ST,1301,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,50,0
184,Homicide,,11/25/13,0027,0,2548 BROWNSVILLE RD,2904,Carrick,3,HANDGUN,Firearm,,WHITE,MALE,18,1
185,Homicide,,12/10/13,1048,10,1700 LETSCHE ST,2509,Fineview,1,HANDGUN,Firearm,,BLACK,MALE,20,1
186,Homicide,,1/16/14,1836,18,7153 KEDRON ST,1302,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,28,0
187,Homicide,,1/20/14,1249,12,RAPIDAN WY & VICTOR WY,1204,Larimer,5,AK-47,Firearm,,BLACK,MALE,37,1
188,Homicide,,1/23/14,2025,20,4650 ROSINA WY,0903,Bloomfield,5,HANDGUN,Firearm,,WHITE,FEMALE,79,1
189,Homicide,,1/23/14,1937,19,GRIMES AV & ZARA ST,3001,Knoxville,3,HANDGUN,Firearm,,BLACK,MALE,36,1
190,Homicide,,1/23/14,1937,19,GRIMES AV & ZARA ST,3001,Knoxville,3,HANDGUN,Firearm,,BLACK,FEMALE,36,1
191,Homicide,,2/7/14,1309,13,701 CHISLETT ST,1113,East Liberty,5,HANDGUN,Firearm,,WHITE,FEMALE,38,1
192,Homicide,,2/7/14,1309,13,701 CHISLETT ST,1113,East Liberty,5,HANDGUN,Firearm,,WHITE,FEMALE,44,1
193,Homicide,,2/10/14,1959,19,1233 WOODLAND AV,2715,Marshall-Shadeland,1,HANDGUN,Firearm,,WHITE,MALE,66,1
194,Homicide,,3/1/14,0119,1,7232 HAMILTON AV,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,27,2
195,Homicide,,3/22/14,1729,17,131 ZARA ST,3001,Knoxville,3,HANDGUN,Firearm,,BLACK,MALE,16,1
196,Homicide,,3/24/14,2125,21,1142 GOETTMANN ST,2406,Troy Hill,1,HANDGUN,Firearm,,BLACK,MALE,18,1
197,Homicide,,3/25/14,2250,22,5300 BLK BROWN WY,1017,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,19,0
198,Homicide,,3/25/14,2250,22,5300 BLK BROWN WY,1017,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,36,0
199,Homicide,,3/28/14,2128,21,WEBSTER AV & ORION ST,0506,Upper Hill,2,HANDGUN,Firearm,,BLACK,MALE,17,0
200,Homicide,,4/18/14,0808,8,214 MAYFLOWER ST,1208,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,33,2
201,Homicide,,4/19/14,2333,23,3799 CHARTIERS AV,2807,Windgap,6,HANDGUN,Firearm,,BLACK,MALE,24,0
202,Homicide,,4/24/14,0654,6,1041 MARENA ST,2020,Elliot,6,HANDGUN,Firearm,,BLACK,MALE,32,0
203,Homicide,,4/25/14,,,3500 HOWLEY ST,0603,Lower Lawrenceville,2,HANDGUN,Firearm,,BLACK,MALE,34,1
205,Homicide,,4/30/14,2225,22,5300 KINCAID ST,1017,Garfield,5,HANDGUN,Firearm,,BLACK,,0,1
206,Homicide,,4/30/14,2225,22,5300 KINCAID ST,1017,Garfield,5,HANDGUN,Firearm,,BLACK,FEMALE,20,1
207,Homicide,,5/3/14,2239,22,374 PENFORT ST,2609,Northview Height,1,HANDGUN,Firearm,,BLACK,MALE,32,0
208,Homicide,,5/11/14,0504,5,HAMILTON AV & HALE ST,1304,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,38,1
209,Homicide,,5/18/14,1926,19,3333 ALLENDALE T,2022,Sheraden,6,HANDGUN,Firearm,,BLACK,MALE,50,0
210,Homicide,,5/28/14,2320,23,881 MEMORY LN,0509,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,18,0
211,Homicide,,6/1/14,0138,1,1507 5TH AV,0305,Crawford-Roberts,2,HANDGUN,Firearm,,BLACK,MALE,27,0
212,Homicide,,6/3/14,1839,18,2535 CHAUNCEY DR,0509,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,24,2
214,Homicide,,6/23/14,2213,22,WEBSTER AV & JUNILLA ST,0501,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,23,2
215,Homicide,,7/4/14,1510,15,7710 TIOGA ST,1304,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,30,1
218,Homicide,,7/13/14,0149,1,ALLEN ST & MANTON WY,1803,Allentown,3,HANDGUN,Firearm,,BLACK,MALE,44,1
219,Homicide,,7/13/14,0114,1,BRUSHTON AV & CALWAY,1301,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,23,0
220,Homicide,,7/16/14,2130,21,20 AMANDA AV1706,1706,Golden Triangle,2,HANDGUN,Firearm,,BLACK,MALE,29,0
221,Homicide,,7/17/14,1946,19,BROAD ST & N EVALINE ST,1017,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,18,1
222,Homicide,,7/22/14,0220,2,23 MERRITT AV,2904,Carrick,3,SHOTGUN,Firearm,,BLACK,MALE,31,1
223,Homicide,,7/22/14,1610,16,ALBION ST & ANNAN WY,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,39,0
224,Homicide,,7/30/14,1440,14,385 PENFORT ST,2609,Northview Height,1,HANDGUN,Firearm,,BLACK,MALE,19,0
225,Homicide,,7/31/14,0925,9,7313 BENNETT ST,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,48,0
226,Homicide,,8/1/14,0108,1,137 HAZLETT ST,2609,Northview Height,1,HANDGUN,Firearm,,BLACK,MALE,21,1
227,Homicide,,8/2/14,0114,1,PENN AV & 28TH ST,0203,Strip District,2,HANDGUN,Firearm,,BLACK,MALE,40,1
