VICTIM_ID,TYPE,CCR,DATE,TIME,HOUR,LOCATION,bing_type,bing_confidence,bing_latitude,combined_latitude,hand_latitude,bing_longitude,combined_longitude,hand_longitude,,mapquest_type,mapquest_class,mapquest_latitude,mapquest_longitude,CENSUS_TRACT,NEIGHBORHOOD,ZONE,WEAPON,,MOTIVE,VICTIM_RACE,VICTIM_SEX,VICTIM_AGE,ACTOR_CT.
15,Homicide,,4/8/10,403,4,STERRET ST & FRANKSTOWN AV,RoadIntersection,High,40.45689985,40.45689985,,-79.89413984,-79.89413984,,,,,,,1302,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,30,0
16,Homicide,,5/4/10,1114,11,1910 ST IVES ST,Address,High,40.45974731,40.45974731,,-80.02270508,-80.02270508,,,house,place,40.459625,-80.022771,2507,California-Kirkbride,1,HANDGUN,Firearm,,BLACK,MALE,27,1
17,Homicide,,5/8/10,240,2,538 1/2 N MURTLAND ST,Address,High,40.45542799,40.45542799,,-79.90229711,-79.90229711,,,residential,highway,40.4524166,-79.9045418,1303,Homewood West,5,HANDGUN,Firearm,,BLACK,MALE,19,1
18,Homicide,,5/30/10,2128,21,N NEGLEY AV & RIPPEY ST,RoadIntersection,High,40.46658742,40.46658742,,-79.9287889,-79.9287889,,,,,,,1114,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,19,2
19,Homicide,,6/3/10,1333,13,OVERBROOK BL & WALTON ST,RoadIntersection,High,40.38520977,40.38520977,,-79.99279015,-79.99279015,,,,,,,2904,Carrick,3,HANDGUN,Firearm,,BLACK,MALE,24,0
20,Homicide,,6/16/10,2307,23,MELLON ST & JANERO ST,RoadIntersection,High,40.4716032,40.4716032,,-79.92463579,-79.92463579,,,,,,,1115,Highland Park,5,HANDGUN,Firearm,,WHITE,MALE,32,1
22,Homicide,,7/5/10,2218,22,4810 MONONGAHELA ST,Address,High,40.41115189,40.41115189,,-79.94288635,-79.94288635,,,residential,highway,40.4140981,-79.9440748,1515,Hazelwood,4,HANDGUN,Firearm,,BLACK,MALE,32,0
23,Homicide,,7/7/10,1550,15,3126 SACRAMENTO AV,Address,High,40.459289,40.459289,,-80.051872,-80.051872,,,house,place,40.4588447,-80.05146437,2018,Sheraden,6,RIFLE,Firearm,,WHITE,MALE,44,1
24,Homicide,,7/8/10,2255,22,FRANKSTOWN AV & OAKWOOD ST,RoadIntersection,High,40.4550498,40.4550498,,-79.88594972,-79.88594972,,,,,,,1301,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,19,0
26,Homicide,,7/11/10,313,3,2340 EAST HILLS DR,Address,High,40.45539044,40.45539044,,-79.87089649,-79.87089649,,,house,place,40.45559455,-79.87080416,1306,East Hills,5,HANDGUN,Firearm,,BLACK,FEMALE,24,2
28,Homicide,,7/18/10,1400,14,5343 CORNWALL ST,Address,High,40.46987101,40.46987101,,-79.93583947,-79.93583947,,,house,place,40.46992102,-79.93587538,1016,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,30,0
29,Homicide,,7/19/10,230,2,N ST CLAIR ST & HAYS ST,RoadIntersection,High,40.46903014,40.46903014,,-79.92502011,-79.92502011,,,,,,,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,17,0
30,Homicide,,7/19/10,230,2,N ST CLAIR ST & HAYS ST,RoadIntersection,High,40.46903014,40.46903014,,-79.92502011,-79.92502011,,,,,,,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,17,0
31,Homicide,,7/25/10,2020,20,FORMOSA WY & N BRADDOCK AV,,,,40.453636,40.453636,,-79.890926,-79.890926,,,,,,1304,Homewood South,5,RIFLE,Firearm,,BLACK,MALE,35,1
33,Homicide,,8/9/10,1623,16,2025 DERAUD ST,PopulatedPlace,Medium,40.43833923,40.43833923,,-79.99746704,-79.99746704,,,,,,,402,Golden Triangle,2,HANDGUN,Firearm,,BLACK,FEMALE,21,1
34,Homicide,,8/10/10,2006,20,2151 ELMORE SQ,Address,High,40.44201694,40.44201694,,-79.97669958,-79.97669958,,,house,place,40.44270764,-79.97715449,511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,29,1
35,Homicide,,8/16/10,2335,23,2523 CHAUNCEY DR,Address,High,40.4513564,40.4513564,,-79.97311614,-79.97311614,,,house,place,40.45124624,-79.9734475,509,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,20,0
36,Homicide,,8/27/10,327,3,7100 BLK UPLAND ST,Address,High,40.462528,40.462528,,-79.897392,-79.897392,,,,,,,1301,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,51,0
37,Homicide,,8/29/10,326,3,612 HILLSBORO ST,Address,High,40.45406723,40.45406723,,-80.05327606,-80.05327606,,,house,place,40.45384378,-80.05281903,2018,Sheraden,6,HANDGUN,Firearm,,BLACK,MALE,26,0
39,Homicide,,9/9/10,2305,23,6502 SHETLAND ST,Address,High,40.46324921,40.46324921,,-79.90929413,-79.90929413,,,house,place,40.4633164,-79.9091524,1204,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,47,1
40,Homicide,,9/11/10,1157,11,611 MONTOOTH ST,Address,High,40.41688919,40.41688919,,-80.00561523,-80.00561523,,,house,place,40.416827,-80.005777,1809,Beltzhoover,3,HANDGUN,Firearm,,BLACK,MALE,19,0
41,Homicide,,9/19/10,2002,20,2126 ELMORE SQ,Address,High,40.44268146,40.44268146,,-79.97710325,-79.97710325,,,house,place,40.44239682,-79.97719434,511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,48,1
42,Homicide,,9/26/10,200,2,1142 GOETTMANN ST,Address,High,40.45835495,40.45835495,,-79.99030304,-79.99030304,,,,,,,2406,Troy Hill,1,HANDGUN,Firearm,,BLACK,MALE,18,0
43,Homicide,,9/29/10,1810,18,5634 STANTON AV,Address,High,40.47069931,40.47069931,,-79.92488861,-79.92488861,,,house,place,40.4706893,-79.9249281,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,29,2
44,Homicide,,9/30/10,2014,20,3422 MILWAUKEE ST,Address,High,40.454383,40.454383,,-79.960838,-79.960838,,,house,place,40.45444758,-79.96099237,506,Upper Hill,2,HANDGUN,Firearm,,BLACK,MALE,33,0
46,Homicide,,11/2/10,2233,22,836 SHAWNEE ST,Address,High,40.4504509,40.4504509,,-79.95996094,-79.95996094,,,house,place,40.45072454,-79.96064374,506,Upper Hill,2,HANDGUN,Firearm,,BLACK,MALE,43,0
47,Homicide,,11/10/10,1637,16,RACE ST & COLLIER ST,RoadIntersection,High,40.45783898,40.45783898,,-79.89133588,-79.89133588,,,,,,,1302,Homewood North,5,HANDGUN,Firearm,,BLACK,MALE,31,0
48,Homicide,,11/13/10,352,3,7310 FRANKSTOWN AV,Address,High,40.456474,40.456474,,-79.893524,-79.893524,,,house,place,40.4567435,-79.89382169,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,39,1
50,Homicide,,11/13/10,1911,19,958 WOODLOW ST,Address,High,40.44595107,40.44595107,,-80.05222052,-80.05222052,,,house,place,40.44652489,-80.05178299,2814,Crafton Heights,6,HANDGUN,Firearm,,BLACK,MALE,25,2
51,Homicide,,11/19/10,2215,22,917 WESTERN AV,Address,High,40.45159149,40.45159149,,-80.0172348,-80.0172348,,,house,place,40.45178846,-80.01699187,2201,Allegheny West,1,HANDGUN,Firearm,,BLACK,MALE,23,1
52,Homicide,,11/27/10,1714,17,208 ROCHELLE ST,Address,High,40.41488647,40.41488647,,-79.99108124,-79.99108124,,,house,place,40.41501624,-79.99088294,3001,Knoxville,3,HANDGUN,Firearm,,BLACK,MALE,22,0
53,Homicide,,12/6/10,133,1,JOSEPH ST & THOMPSON ST,RoadIntersection,High,40.46570743,40.46570743,,-79.91047286,-79.91047286,,,,,,,1204,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,18,1
54,Homicide,,12/9/10,51,0,7232 HAMILTON AV,Address,High,40.45420456,40.45420456,,-79.89631653,-79.89631653,,,house,place,40.45434982,-79.89668334,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,37,0
55,Homicide,,12/30/10,1524,15,2150 ELMORE SQ,Address,High,40.44169776,40.44169776,,-79.976312,-79.976312,,,house,place,40.44239154,-79.97720923,511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,30,2
57,Homicide,,1/16/11,230,2,219 LOMBARD ST,Address,High,40.43965149,40.43965149,,-79.97904205,-79.97904205,,,house,place,40.43984173,-79.97887421,305,Crawford-Roberts,2,HANDGUN,Firearm,,BLACK,MALE,24,1
58,Homicide,,1/23/11,337,3,6481 FRANKSTOWN AV,Address,High,40.460689,40.460689,,-79.913894,-79.913894,,,house,place,40.46068362,-79.91428023,1208,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,30,0
59,Homicide,,1/25/11,1203,12,MARSDEN ST & MONONGAHELA ST,RoadIntersection,High,40.41076988,40.41076988,,-79.94238004,-79.94238004,,,,,,,1515,Hazelwood,4,HANDGUN,Firearm,,BLACK,MALE,27,1
60,Homicide,,2/10/11,1911,19,310 E WARRINGTON AV,Address,High,40.42084122,40.42084122,,-80.00186157,-80.00186157,,,house,place,40.42095346,-80.00189976,1809,Beltzhoover,3,HANDGUN,Firearm,,BLACK,MALE,19,0
61,Homicide,,2/12/11,1418,14,2650 CENTRE AV,Address,High,40.44677854,40.44677854,,-79.96787712,-79.96787712,,,primary,highway,40.4612076,-79.9223654,510,Terrace Village,2,SHOTGUN,Firearm,,BLACK,MALE,21,1
62,Homicide,,2/16/11,1856,18,7100 EVERTON ST,Address,High,40.46309642,40.46309642,,-79.8931957,-79.8931957,,,house,place,40.462748,-79.891953,1202,Lincoln-Lemington-Belmar,5,HANDGUN,Firearm,,BLACK,MALE,22,2
64,Homicide,,2/27/11,210,2,1500 BALDWICK RD,Address,High,40.42726211,40.42726211,,-80.06209441,-80.06209441,,,house,place,40.42682202,-80.05961266,2812,Oakwood,6,HANDGUN,Firearm,,WHITE,MALE,29,1
65,Homicide,,3/17/11,216,2,255 EAST OHIO ST,Address,High,40.45217514,40.45217514,,-80.00279999,-80.00279999,,,house,place,40.45298066,-80.00309015,2204,Allegheny Center,1,SHOTGUN,Firearm,,BLACK,FEMALE,29,1
66,Homicide,,3/23/11,1545,15,524 HACKETT WY,RoadBlock,Medium,40.45001984,40.45001984,,-79.88371277,-79.88371277,,,service,highway,40.4500365,-79.8836768,1306,East Hills,5,HANDGUN,Firearm,,BLACK,MALE,21,2
67,Homicide,,3/29/11,1900,19,21 PERRY ST,Address,High,40.48738249,40.48738249,,-79.9610395,-79.9610395,,,house,place,40.44610398,-79.97748961,501,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,21,0
68,Homicide,,4/6/11,1347,13,2300 LA PLACE ST,Address,High,40.44473939,40.44473939,,-79.97343399,-79.97343399,,,residential,highway,40.4448031,-79.9758869,501,Golden Triangle,2,HANDGUN,Firearm,,BLACK,MALE,19,0
70,Homicide,,4/23/11,2038,20,893 MEMORY LN,Address,High,40.4487627,40.4487627,,-79.98093009,-79.98093009,,,house,place,40.44909886,-79.97981467,509,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,17,0
71,Homicide,,5/11/11,2225,22,1556 CRUCIBLE ST,Address,High,40.44691801,40.44691801,,-80.05264632,-80.05264632,,,house,place,40.44701098,-80.05270391,2814,Crafton Heights,6,HANDGUN,Firearm,,BLACK,MALE,20,1
72,Homicide,,5/14/11,1634,16,2200 BLK BEDFORD AV,Address,High,40.44812,40.44812,,-79.978096,-79.978096,,,,,,,501,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,24,0
74,Homicide,,6/19/11,2129,21,1711 BELLEAU DR,Address,High,40.46085209,40.46085209,,-80.00728346,-80.00728346,,,house,place,40.46081325,-80.007096,2509,Fineview,1,HANDGUN,Firearm,,BLACK,MALE,27,1
75,Homicide,,6/30/11,125,1,5225 KEYSTONE ST,Address,High,40.48014832,40.48014832,,-79.95244598,-79.95244598,,,house,place,40.48002846,-79.9524547,1011,Upper Lawrenceville,2,HANDGUN,Firearm,,BLACK,MALE,34,1
76,Homicide,,7/15/11,334,3,7906 FRANKSTOWN AV,Address,High,40.45494,40.45494,,-79.885543,-79.885543,,,secondary,highway,40.4583108,-79.9060527,1306,East Hills,5,HANDGUN,Firearm,,BLACK,MALE,34,0
77,Homicide,,7/24/11,330,3,119 BONVUE ST,Address,High,40.48982239,40.48982239,,-80.0160675,-80.0160675,,,house,place,40.4898495,-80.0160528,2602,Perry North,1,HANDGUN,Firearm,,BLACK,MALE,19,0
78,Homicide,,8/4/11,2316,23,2618 LELAND ST,Address,High,40.47110748,40.47110748,,-80.01211548,-80.01211548,,,house,place,40.4710823,-80.0122221,2615,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,19,0
79,Homicide,,8/9/11,109,1,7706 TIOGA ST,Address,High,40.45108013,40.45108013,,-79.88978595,-79.88978595,,,house,place,40.45107128,-79.88983466,1304,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,3,1
80,Homicide,,8/14/11,2141,21,315 ROCHELLE ST,Address,High,40.41521454,40.41521454,,-79.99388123,-79.99388123,,,house,place,40.41511004,-79.99342968,3001,Knoxville,3,HANDGUN,Firearm,,BLACK,MALE,19,2
81,Homicide,,8/14/11,224,2,ALPINE AV & GARFIELD AV,RoadIntersection,High,40.45793988,40.45793988,,-80.01238972,-80.01238972,,,,,,,2503,Central Northside,1,HANDGUN,Firearm,,BLACK,MALE,29,0
82,Homicide,,8/15/11,1833,18,MATTHEWS AV & ROMEYN WY,,,,40.413258,40.413258,,-79.991975,-79.991975,,,,,,3001,Knoxville,3,HANDGUN,Firearm,,BLACK,MALE,18,0
83,Homicide,,8/16/11,2209,22,109 RHINE PL,Address,High,40.46699837,40.46699837,,-79.99389254,-79.99389254,,,house,place,40.46715796,-79.9936863,2620,Spring Hill-City View,1,HANDGUN,Firearm,,BLACK,MALE,22,0
84,Homicide,,8/17/11,2348,23,6533 MEADOW ST,Address,High,40.46135969,40.46135969,,-79.91005272,-79.91005272,,,house,place,40.4614955,-79.909991,1204,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,14,0
87,Homicide,,9/8/11,130,1,1611 SANDUSKY CT,Address,High,40.45958139,40.45958139,,-80.00572711,-80.00572711,,,house,place,40.45946941,-80.00569526,2509,Fineview,1,HANDGUN,Firearm,,BLACK,MALE,18,0
88,Homicide,,9/12/11,2237,22,205 W ELIZABETH ST,Address,High,40.40683365,40.40683365,,-79.94622803,-79.94622803,,,tertiary,highway,40.4069204,-79.9442685,1501,Hazelwood,4,HANDGUN,Firearm,,BLACK,MALE,20,0
89,Homicide,,9/26/11,1140,11,2471 CHAUNCEY DR,Address,High,40.45105599,40.45105599,,-79.97383632,-79.97383632,,,house,place,40.450821,-79.97444427,509,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,26,2
90,Homicide,,9/27/11,1731,17,WYLIE AV & CHAUNCEY ST,RoadIntersection,High,40.44739077,40.44739077,,-79.97334969,-79.97334969,,,,,,,509,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,36,0
93,Homicide,,11/14/11,1500,15,2112 BENTLEY DR,Address,High,40.44011459,40.44011459,,-79.97688599,-79.97688599,,,house,place,40.4400406,-79.97641617,511,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,38,5
94,Homicide,,11/26/11,511,5,1019 GERRITT ST,Address,High,40.460418,40.460418,,-79.901855,-79.901855,,,residential,highway,40.4596773,-79.9018223,1207,Homewood West,5,AK 47,Firearm,,BLACK,FEMALE,25,0
95,Homicide,,12/7/11,2239,22,7228 KELLY ST,Address,High,40.45501328,40.45501328,,-79.89601898,-79.89601898,,,house,place,40.45524206,-79.89614586,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,21,0
96,Homicide,,12/18/11,1931,19,GLENROSE ST & HAZELTON ST,RoadIntersection,High,40.46613977,40.46613977,,-80.00360925,-80.00360925,,,,,,,2509,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,45,0
97,Homicide,,12/21/11,1224,12,2115 WATSON ST,Address,High,40.43774083,40.43774083,,-79.97567631,-79.97567631,,,house,place,40.43776477,-79.9755877,103,Bluff,2,HANDGUN,Firearm,,BLACK,MALE,39,0
98,Homicide,,12/31/11,341,3,313 STERLING ST,Address,High,40.4143486,40.4143486,,-79.97473907,-79.97473907,,,house,place,40.41498182,-79.97479825,1603,Arlington,3,HANDGUN,Firearm,,BLACK,MALE,23,1
99,Homicide,,1/1/12,128,1,20TH ST & PENN AV,RoadIntersection,High,40.45111969,40.45111969,,-79.98392008,-79.98392008,,,,,,,203,Strip District,2,HANDGUN,Firearm,,BLACK,FEMALE,27,0
100,Homicide,,1/2/12,1924,19,3437 FLEMING AV,Address,High,40.477615,40.477615,,-80.038742,-80.038742,,,house,place,40.47776138,-80.03858163,2703,Brighton Heights,1,HANDGUN,Firearm,,BLACK,MALE,21,0
101,Homicide,,1/6/12,1610,16,4201 BRISTOL ST,Address,High,40.42221069,40.42221069,,-79.94597626,-79.94597626,,,house,place,40.42167878,-79.94598681,1516,Greenfield,4,HANDGUN,Firearm,,WHITE,MALE,40,1
102,Homicide,,2/10/12,1649,16,1710 TERMON AV,Address,High,40.482334,40.482334,,-80.04248,-80.04248,,,house,place,40.482033,-80.04196365,2701,Brighton Heights,1,HANDGUN,Firearm,,BLACK,MALE,35,0
104,Homicide,,2/22/12,102,1,7266 SOMERSET ST,Address,High,40.46753311,40.46753311,,-79.89162445,-79.89162445,,,house,place,40.46761956,-79.89195048,1202,Lincoln-Lemington-Belmar,5,HANDGUN,Firearm,,BLACK,MALE,19,0
105,Homicide,,2/28/12,1642,16,31ST ST & RAILROAD ST,RoadIntersection,High,40.33066883,40.33066883,,-79.84396215,-79.84396215,,,,,,,203,Strip District,2,HANDGUN,Firearm,,WHITE,MALE,31,1
106,Homicide,,3/8/12,1345,13,3811 O'HARA ST,Address,High,40.44371796,40.44371796,,-79.95993805,-79.95993805,,,tertiary,highway,40.444424,-79.9581363,403,North Oakland,4,HANDGUN,Firearm,,WHITE,MALE,25,1
107,Homicide,,3/25/12,1953,19,500 BL N ST CLAIR ST,Address,High,40.46718545,40.46718545,,-79.92611043,-79.92611043,,,,,,,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,17,0
108,Homicide,,4/2/12,1727,17,1513 CONWAY ST,Address,High,40.418418,40.418418,,-79.973373,-79.973373,,,house,place,40.4183943,-79.9734125,1608,South Side Slopes,3,HANDGUN,Firearm,,BLACK,MALE,19,0
109,Homicide,,4/21/12,1813,18,630 N EUCLID AV,Address,High,40.46853638,40.46853638,,-79.92391205,-79.92391205,,,house,place,40.4685318,-79.923914,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,MALE,30,1
110,Homicide,,5/1/12,2248,22,1504 LINCOLN AV,Address,High,40.46863174,40.46863174,,-79.89564514,-79.89564514,,,house,place,40.4688439,-79.89573695,1202,Lincoln-Lemington-Belmar,5,HANDGUN,Firearm,,BLACK,MALE,29,0
111,Homicide,,5/6/12,259,2,6525 HAMILTON AV,Address,High,40.459026,40.459026,,-79.913291,-79.913291,,,house,place,40.4590251,-79.9132824,1208,Larimer,5,HANDGUN,Firearm,,BLACK,MALE,20,0
112,Homicide,,5/13/12,100,1,1600 BLK VILLANOVA RD,Address,High,40.482326,40.482326,,-79.926437,-79.926437,,,,,,,1014,Morningside,5,HANDGUN,Firearm,,BLACK,MALE,22,1
113,Homicide,,5/20/12,429,4,712 N HOMEWOOD AV,Address,High,40.45584574,40.45584574,,-79.89682071,-79.89682071,,,house,place,40.455858,-79.896783,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,35,0
114,Homicide,,5/28/12,2135,21,34 STRAUSS ST,Address,High,40.46454348,40.46454348,,-80.01977384,-80.01977384,,,house,place,40.464573,-80.0197114,2614,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,32,0
115,Homicide,,6/20/12,2226,22,2439 BEDFORD AV,Address,High,40.45029558,40.45029558,,-79.97356206,-79.97356206,,,house,place,40.45030206,-79.97366935,509,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,24,0
116,Homicide,,6/24/12,1510,15,611 NOBLESTOWN RD,Address,High,40.4370857,40.4370857,,-80.03999233,-80.03999233,,,house,place,40.41538164,-80.0721688,2811,East Carnegie,6,HANDGUN,Firearm,,BLACK,MALE,23,2
117,Homicide,,6/28/12,613,6,1905 BUENA VISTA ST,Address,High,40.46127701,40.46127701,,-80.01474762,-80.01474762,,,house,place,40.4611922,-80.0146761,2614,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,15,0
118,Homicide,,6/28/12,613,6,1905 BUENA VISTA ST,Address,High,40.46127701,40.46127701,,-80.01474762,-80.01474762,,,house,place,40.4611922,-80.0146761,2614,Perry South,1,HANDGUN,Firearm,,BLACK,MALE,21,0
119,Homicide,,7/6/12,1346,13,KIRKPATRICK ST & LA PLACE ST,RoadIntersection,High,40.44474006,40.44474006,,-79.97582987,-79.97582987,,,,,,,501,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,26,1
120,Homicide,,7/15/12,203,2,7230 KELLY ST,Address,High,40.45525901,40.45525901,,-79.89605896,-79.89605896,,,house,place,40.45523509,-79.89611455,1303,Homewood South,5,HANDGUN,Firearm,,BLACK,MALE,27,0
121,Homicide,,7/17/12,1845,18,2500 CENTRE AV,Address,High,40.44545822,40.44545822,,-79.97059017,-79.97059017,,,primary,highway,40.4612076,-79.9223654,501,Terrace Village,2,HANDGUN,Firearm,,BLACK,MALE,17,0
123,Homicide,,8/25/12,145,1,2225 BEDFORD AV,Address,High,40.4489975,40.4489975,,-79.97710419,-79.97710419,,,house,place,40.44882799,-79.97713743,509,Bedford Dwellings,2,HANDGUN,Firearm,,BLACK,MALE,17,0
124,Homicide,,8/25/12,1558,15,3349 LIBERTY AV,Address,High,40.461814,40.461814,,-79.966567,-79.966567,,,house,place,40.46169481,-79.96669051,603,Lower Lawrenceville,2,HANDGUN,Firearm,,WHITE,MALE,46,2
125,Homicide,,8/26/12,1217,12,404 CURTIN AV,Address,High,40.418838,40.418838,,-79.999107,-79.999107,,,house,place,40.418896,-79.99895049,1809,Beltzhoover,3,HANDGUN,Firearm,,BLACK,MALE,19,1
126,Homicide,,9/5/12,1604,16,LARIMER AV BR & DEARY ST,RoadIntersection,High,40.46787828,40.46787828,,-79.90714205,-79.90714205,,,,,,,1203,Wilkins,,HANDGUN,Firearm,,BLACK,MALE,17,2
127,Homicide,,9/8/12,120,1,1605 BROADHEAD ST,Address,High,40.46910858,40.46910858,,-79.89182281,-79.89182281,,,house,place,40.4690408,-79.8917753,1202,Lincoln-Lemington-Belmar,5,HANDGUN,Firearm,,BLACK,MALE,59,0
128,Homicide,,9/12/12,2140,21,5416 BROAD ST,Address,High,40.46530533,40.46530533,,-79.93522644,-79.93522644,,,house,place,40.4653464,-79.9352128,1114,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,24,1
129,Homicide,,9/20/12,2120,21,139 JUCUNDA ST,Address,High,40.41755295,40.41755295,,-79.98987579,-79.98987579,,,house,place,40.41744898,-79.98929706,3001,Knoxville,3,HANDGUN,Firearm,,WHITE,MALE,51,0
130,Homicide,,10/1/12,2148,21,2411 BEDFORD AV,Address,High,40.45002133,40.45002133,,-79.97422457,-79.97422457,,,house,place,40.45001421,-79.97434707,509,Middle Hill,2,HANDGUN,Firearm,,BLACK,MALE,47,0
131,Homicide,,10/13/12,1008,10,515 N HIGHLAND AV,Address,High,40.46666242,40.46666242,,-79.92247403,-79.92247403,,,house,place,40.46698625,-79.92307532,1113,East Liberty,5,HANDGUN,Firearm,,BLACK,FEMALE,64,0
132,Homicide,,10/14/12,2044,20,408 N AIKEN AV,Address,High,40.46784326,40.46784326,,-79.93447557,-79.93447557,,,house,place,40.4679169,-79.9342032,1114,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,16,0
133,Homicide,,10/16/12,2057,20,6622 DEARY ST,Address,High,40.46539688,40.46539688,,-79.90337372,-79.90337372,,,house,place,40.46565638,-79.9035684,1203,Lincoln-Lemington-Belmar,5,HANDGUN,Firearm,,BLACK,MALE,50,0
134,Homicide,,10/21/12,2003,20,5354 MOSSFIELD ST,Address,High,40.47163054,40.47163054,,-79.93405379,-79.93405379,,,residential,highway,40.4711894,-79.9334871,1016,Garfield,5,HANDGUN,Firearm,,BLACK,MALE,20,0
135,Homicide,,11/4/12,2246,22,7100 & 7300 BL MONTICELLO ST,,,,40.45881,40.45881,,-79.893258,-79.893258,,,,,,1302,Homewood West,5,HANDGUN,Firearm,,BLACK,FEMALE,31,0
136,Homicide,,11/18/12,408,4,2256 EAST HILLS DR,Address,High,40.45463003,40.45463003,,-79.8719231,-79.8719231,,,house,place,40.4546104,-79.87184015,1306,East Hills,5,HANDGUN,Firearm,,BLACK,MALE,21,0
